Index,Fp,E,ve,Tc,T10,T2star0,r2p,r2e,r2star,PK_model,GCM_model
-,ml/min/ml,-,ml/ml,min,s,s,l/mmol/s,l/mmol/s,l/mmol/s,-,-
1,0.301544835551481,0.40792252477064,0.276411488118709,0.280185187852096,1.904,0.02,11,16,44,TwoCX,GCM
2,0.190220034576278,0.388259195158967,0.191325659329901,0.30356425841005,1.904,0.02,11,16,44,TwoCX,GCM
3,0.8,0,0.1,0.01,1.904,0.02,11,16,44,TwoCX,GCM
4,0.83,0,0.11,0.012,1.904,0.02,11,16,44,TwoCX,GCM
5,0.5,0,0.15,0.006,1.904,0.02,11,16,44,TwoCX,GCM
6,0.75,0,0.08,0.008,1.904,0.02,11,16,44,TwoCX,GCM
7,25,0.00001,0.00001,0.04,1.904,0.02,11,16,44,TwoCX,GCM
8,25,0.00001,0.00001,0.04,1.904,0.02,11,16,44,TwoCX,GCM
9,25,0.00001,0.00001,0.04,1.904,0.02,11,16,44,TwoCX,GCM
10,0.0807893005788542,0.5,0.1,0.245560926103586,1.904,0.02,11,16,44,TwoCX,GCM
11,0.0823737107619468,0.483632898397176,0.11809,0.266149748604296,1.904,0.02,11,16,44,TwoCX,GCM
12,0.0779991924032123,0.508372683914187,0.0666044006813378,0.360437588219598,1.904,0.02,11,16,44,TwoCX,GCM
13,0.090580540724083,0.493270158942757,0.0827917532899137,0.320146688698662,1.904,0.02,11,16,44,TwoCX,GCM
14,0.0971,0.48,0.078,0.2873,1.904,0.02,11,16,44,TwoCX,GCM
15,0.0993102363246724,0.477,0.0724,0.277,1.904,0.02,11,16,44,TwoCX,GCM
16,0.14960398559933,0.351980433243501,0.0959984920078203,0.329068210333347,1.904,0.02,11,16,44,TwoCX,GCM
17,0.25,0.428390234607329,0.146823034337917,0.357971466086164,1.904,0.02,11,16,44,TwoCX,GCM
18,0.107763014309497,0.430339031744412,0.102942337293286,0.349211903240229,1.904,0.02,11,16,44,TwoCX,GCM
19,0.0969662461641213,0.55,0.085,0.235986591304181,1.904,0.02,11,16,44,TwoCX,GCM
20,0.103795985156402,0.55,0.08,0.24,1.904,0.02,11,16,44,TwoCX,GCM
21,0.11,0.51,0.0782,0.178968243399168,1.904,0.02,11,16,44,TwoCX,GCM
22,0.187821209186305,0.200107426950683,0.125293215192112,0.257200119410272,1.904,0.02,11,16,44,TwoCX,GCM
23,0.17437036845074,0.210626661015973,0.0711968581758817,0.27393025237722,1.904,0.02,11,16,44,TwoCX,GCM
24,0.24375645354516,0.447531489598831,0.164812967963801,0.341805203793672,1.904,0.02,11,16,44,TwoCX,GCM
25,0.25452659796751,0.463731934959827,0.227248598544883,0.308259986502093,1.904,0.02,11,16,44,TwoCX,GCM
26,0.175362472737781,0.489750693093232,0.132380368332078,0.457173518891147,1.904,0.02,11,16,44,TwoCX,GCM
27,100,0.00001,0.00001,0.01,1.904,0.02,11,16,44,TwoCX,GCM
28,100,0.00001,0.00001,0.01,1.904,0.02,11,16,44,TwoCX,GCM
29,0.0696844385594901,0.0977833403486774,0.0496999594168588,0.08976080807921,1.904,0.02,11,16,44,TwoCX,GCM
30,0.086214642487055,0.104362462085377,0.0580451446767004,0.0841210533938396,1.904,0.02,11,16,44,TwoCX,GCM
31,0.0738853831873,0.249423532386487,0.0840898519437748,0.221750983804478,1.904,0.02,11,16,44,TwoCX,GCM
32,0.117729403338863,0.345744339404018,0.119585281629684,0.272790623387483,1.904,0.02,11,16,44,TwoCX,GCM
33,0.106503260063909,0.271001888335672,0.0933919882639556,0.251165933121027,1.904,0.02,11,16,44,TwoCX,GCM
34,0.119385553887438,0.394387139080138,0.118480943690794,0.233418812208533,1.904,0.02,11,16,44,TwoCX,GCM
35,0.118906900307341,0.298877093603577,0.0943613091630303,0.292433490362795,1.904,0.02,11,16,44,TwoCX,GCM
36,0.126080003939715,0.411048238897719,0.12370997831161,0.26535880021991,1.904,0.02,11,16,44,TwoCX,GCM
37,0.12647652592852,0.302852121203604,0.0937162475874706,0.302879948934036,1.904,0.02,11,16,44,TwoCX,GCM
38,1000,0.00001,0.00001,0.001,1.904,0.02,11,16,44,TwoCX,GCM
39,50,0.00001,0.00001,0.02,1.904,0.02,11,16,44,TwoCX,GCM
40,1000,0.00001,0.00001,0.001,1.904,0.02,11,16,44,TwoCX,GCM
41,50,0.00001,0.00001,0.02,1.904,0.02,11,16,44,TwoCX,GCM
42,50,0.00001,0.00001,0.02,1.904,0.02,11,16,44,TwoCX,GCM
43,50,0.00001,0.00001,0.02,1.904,0.02,11,16,44,TwoCX,GCM
44,1000,0.00001,0.00001,0.001,1.904,0.02,11,16,44,TwoCX,GCM
45,1000,0.00001,0.00001,0.001,1.904,0.02,11,16,44,TwoCX,GCM
46,1000,0.00001,0.00001,0.001,1.904,0.02,11,16,44,TwoCX,GCM
47,50,0.00001,0.00001,0.02,1.904,0.02,11,16,44,TwoCX,GCM
48,1000,0.00001,0.00001,0.001,1.904,0.02,11,16,44,TwoCX,GCM
49,50,0.00001,0.00001,0.02,1.904,0.02,11,16,44,TwoCX,GCM
50,50,0.00001,0.00001,0.02,1.904,0.02,11,16,44,TwoCX,GCM
51,1000,0.00001,0.00001,0.001,1.904,0.02,11,16,44,TwoCX,GCM
52,50,0.00001,0.00001,0.02,1.904,0.02,11,16,44,TwoCX,GCM
53,1000,0.00001,0.00001,0.001,1.904,0.02,11,16,44,TwoCX,GCM
